Plant_Name,City,Country,Opening_Year,DryWeather(CMD),WetWeather(CMD),Area(sqkm),Latitude,Longitude
Jean-R.-Marcotte Wastewater Treatment Plant,Montreal,Canada,1984,2780000,7600000,0.67,45.5031824,-73.5698065
Detroit Wastewater Treatment Plant,Detroit,USA,1940,2460000,6435000,0.53,42.3315509,-83.0466403
Stickney Water Reclamation Plant,Chicago,USA,1930,2665000,5450000,1.67,41.8755616,-87.6244212
Blue Plains Advanced Wastewater Treatment Plant,Washington D.C.,USA,1937,1450000,4073000,0.62,38.8950368,-77.0365427
Deer Island Waste Water Treatment Plant,Boston,USA,1968,1438000,4542000,0.6,42.3554334,-71.060511
Abu Rawash Wastewater treatment plant,Giza,Egypt,2021,1600000,0,1.39,29.9870753,31.2118063
Atotonilco de Tula Plant,Mexico City,Mexico,2015,2000000,3000000,0.0,19.4326296,-99.1331785
Hyperion Water Reclamation  Plant,Los Angeles,USA,1925,1041000,3000000,0.81,34.0536909,-118.242766
Kuryanovo wastewater treatment facilities,Moscow,Russia,1950,2200000,0,0.0,55.625578,37.6063916
Lyuberetskiye wastewater treatment facilities,Moscow,Russia,1963,3000000,0,0.0,55.625578,37.6063916
Seine Aval Wastewater Treatment Plant,Paris,France,1940,1460000,2900000,8.0,48.8588897,2.3200410217200766
Shanghai Zhuyan I Wastewater Treatment Plant,Shanghai,China,2004,1700000,0,0.0,31.2312707,121.4700152
Stonecutters Island Sewage Treatment,Hong Kong,China,2001,0,2765000,0.0,22.2793278,114.1628131
Bailonggang Wastewater Treatment Plant,Shanghai,China,1999,2000000,0,0.0,31.2312707,121.4700152
Gabal el Asfar Wastewater Treatment Plant,Cairo,Egypt,0,1700000,2500000,1.63,30.0443879,31.2357257
Beckton Sewage Treatment Works,London,UK,1864,0,2330000,1.0,51.4893335,-0.14405508452768728
Morigasaki Water Reclamation Center,Tokyo,Japan,1966,0,1540000,0.41,35.6840574,139.7744912
Beijing Huaifang Water Plant,Beijing,China,2017,600000,0,0.16,40.190632,116.412144
Western Treatment Plant,Melbourne,Australia,1897,485000,0,105.0,-37.8142454,144.9631732
Dasherkandi Sewage Treatment Plant,Dhaka,Bangladesh,2023,350000,500000,0.26,23.7644025,90.389015
McAlpine Creek Wastewater Treatment Plant,"Charlotte, N.C.",USA,1966,290950,0,0.0,35.2272086,-80.8430827
Jean-R.-Marcotte Wastewater Treatment Plant,Montreal,Canada,1984,2780000,7600000,0.67,45.5031824,-73.5698065
Detroit Wastewater Treatment Plant,Detroit,USA,1940,2460000,6435000,0.53,42.3315509,-83.0466403
Stickney Water Reclamation Plant,Chicago,USA,1930,2665000,5450000,1.67,41.8755616,-87.6244212
Blue Plains Advanced Wastewater Treatment Plant,Washington D.C.,USA,1937,1450000,4073000,0.62,38.8950368,-77.0365427
Deer Island Waste Water Treatment Plant,Boston,USA,1968,1438000,4542000,0.6,42.3554334,-71.060511
Abu Rawash Wastewater treatment plant,Giza,Egypt,2021,1600000,0,1.39,29.9870753,31.2118063
Atotonilco de Tula Plant,Mexico City,Mexico,2015,2000000,3000000,0.0,19.4326296,-99.1331785
Hyperion Water Reclamation  Plant,Los Angeles,USA,1925,1041000,3000000,0.81,34.0536909,-118.242766
Kuryanovo wastewater treatment facilities,Moscow,Russia,1950,2200000,0,0.0,55.625578,37.6063916
Lyuberetskiye wastewater treatment facilities,Moscow,Russia,1963,3000000,0,0.0,55.625578,37.6063916
Seine Aval Wastewater Treatment Plant,Paris,France,1940,1460000,2900000,8.0,48.8588897,2.3200410217200766
Shanghai Zhuyan I Wastewater Treatment Plant,Shanghai,China,2004,1700000,0,0.0,31.2312707,121.4700152
Stonecutters Island Sewage Treatment,Hong Kong,China,2001,0,2765000,0.0,22.2793278,114.1628131
Bailonggang Wastewater Treatment Plant,Shanghai,China,1999,2000000,0,0.0,31.2312707,121.4700152
Gabal el Asfar Wastewater Treatment Plant,Cairo,Egypt,0,1700000,2500000,1.63,30.0443879,31.2357257
Beckton Sewage Treatment Works,London,UK,1864,0,2330000,1.0,51.4893335,-0.14405508452768728
Morigasaki Water Reclamation Center,Tokyo,Japan,1966,0,1540000,0.41,35.6840574,139.7744912
Beijing Huaifang Water Plant,Beijing,China,2017,600000,0,0.16,40.190632,116.412144
Western Treatment Plant,Melbourne,Australia,1897,485000,0,105.0,-37.8142454,144.9631732
Dasherkandi Sewage Treatment Plant,Dhaka,Bangladesh,2023,350000,500000,0.26,23.7644025,90.389015
McAlpine Creek Wastewater Treatment Plant,"Charlotte, N.C.",USA,1966,290950,0,0.0,35.2272086,-80.8430827
